action_type,combined_shot_type,game_event_id,game_id,lat,loc_x,loc_y,lon,minutes_remaining,period,playoffs,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,team_id,team_name,game_date,matchup,opponent,shot_id,attendance,arena_temp,avgnoisedb,rannum,action_type_int,combined_shot_type_int,shot_type_int,shot_zone_are_int,shot_zone_basic_int,shot_zone_range_int,opponent_int,time_remaining_period,game_time,log_lat,log_shot_distance,log_loc_y,season,Obs,shot_not_made_probability,shot_made_probability,_INTO_
Jump Shot,Jump Shot,439,21100497,34.0163,234,28,-118.0358,5,4,0,32,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,2/22/2012,LAL @ DAL,DAL,18855,14191,70,96.9,18854,26,4,2,6,7,2,7,332,2548,3.5268398215,3.1355376932,4.2904594411,2011,15830,0.5875917843,0.4124082157,0
Jump Shot,Jump Shot,19,21100502,33.9483,64,96,-118.2058,9,1,0,33,11,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2/23/2012,LAL @ OKC,OKC,18858,15649,73,93.08,18857,26,4,1,6,3,3,22,573,147,3.5248387791,2.3979861778,4.9487598904,2011,15832,0.4473804834,0.5526195166,1
Turnaround Jump Sho,Jump Shot,28,21100502,33.9613,-82,83,-118.3518,8,1,0,7,11,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/23/2012,LAL @ OKC,OKC,18860,15649,73,93.08,18859,55,4,1,4,5,3,22,487,233,3.525221641,2.3979861778,4.8520302639,2011,15834,0.4193716794,0.5806283206,1
Turnaround Jump Sho,Jump Shot,70,21100502,33.9883,4,56,-118.2658,3,1,0,4,5,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2/23/2012,LAL @ OKC,OKC,18863,15649,73,93.08,18861,55,4,1,2,3,5,22,184,536,3.5260163477,1.6096378924,4.6151205168,2011,15836,0.4003147816,0.5996852184,1
Jump Shot,Jump Shot,92,21100502,33.8463,-93,198,-118.3628,0,1,0,28,21,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/23/2012,LAL @ OKC,OKC,18865,15649,73,93.08,18863,26,4,1,3,5,1,22,28,692,3.5218296876,3.0445700556,5.4930614433,2011,15838,0.5507881792,0.4492118208,0
Step Back Jump shot,Jump Shot,181,21100502,33.9073,-182,137,-118.4518,3,2,0,48,22,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/23/2012,LAL @ OKC,OKC,18868,15649,73,93.08,18865,48,4,1,3,5,1,22,228,1212,3.5236303304,3.0910879069,5.2040066871,2011,15840,0.4760488242,0.5239511758,1
Jump Shot,Jump Shot,301,21100502,33.8303,125,214,-118.1448,4,3,0,19,24,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/23/2012,LAL @ OKC,OKC,18871,15649,73,93.08,18867,26,4,2,5,1,2,22,259,1901,3.5213568506,3.1780954961,5.5568280617,2011,15842,0.5788648899,0.4211351101,0
Driving Layup Shot,Layup,309,21100502,34.0353,4,9,-118.2658,3,3,0,35,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/23/2012,LAL @ OKC,OKC,18873,15649,73,93.08,18869,12,5,1,2,6,5,22,215,1945,3.5273982213,-6.907755279,3.9889840466,2011,15844,0.2921861815,0.7078138185,1
Fadeaway Jump Shot,Jump Shot,424,21100502,33.9593,-177,85,-118.4468,5,4,0,15,19,0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/23/2012,LAL @ OKC,OKC,18875,15649,73,93.08,18871,17,4,1,4,5,1,22,315,2565,3.5251627487,2.9444916094,4.8675344505,2011,15846,0.529675401,0.470324599,0
Jump Shot,Jump Shot,463,21100502,33.8393,159,205,-118.1108,2,4,0,32,25,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/23/2012,LAL @ OKC,OKC,18878,15649,73,93.08,18873,26,4,2,5,1,2,22,152,2728,3.5216228489,3.2189158241,5.5214609179,2011,15848,0.575771796,0.424228204,0
Turnaround Jump Sho,Jump Shot,473,21100502,34.0103,-60,34,-118.3298,1,4,0,45,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2/23/2012,LAL @ OKC,OKC,18880,15649,73,93.08,18875,55,4,1,2,3,5,22,105,2775,3.5266634199,1.791926122,4.3694478525,2011,15850,0.3991176062,0.6008823938,1
Jump Shot,Jump Shot,12,21100523,33.8583,100,186,-118.1698,9,1,0,49,21,1,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/29/2012,LAL vs. MIN,MIN,18882,14144,68,95.31,18882,26,4,1,5,5,1,17,589,131,3.5221841687,3.0445700556,5.4424177105,2011,15852,0.5511109206,0.4488890794,0
Jump Shot,Jump Shot,22,21100523,33.8383,12,206,-118.2578,7,1,0,59,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,2/29/2012,LAL vs. MIN,MIN,18884,14144,68,95.31,18884,26,4,1,2,5,1,17,479,241,3.5215932971,2.9957822723,5.5254529391,2011,15854,0.5627181553,0.4372818447,0
Turnaround Fadeaway,Jump Shot,54,21100523,33.9593,99,85,-118.1708,5,1,0,17,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,2/29/2012,LAL vs. MIN,MIN,18886,14144,68,95.31,18886,52,4,1,6,5,3,17,317,403,3.5251627487,2.5650262776,4.8675344505,2011,15856,0.4844430884,0.5155569116,1
Jump Shot,Jump Shot,76,21100523,33.8083,-120,236,-118.3898,3,1,0,2,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/29/2012,LAL vs. MIN,MIN,18889,14144,68,95.31,18888,26,4,2,3,1,2,17,182,538,3.5207063345,3.2581349988,5.6383546693,2011,15858,0.6642177245,0.3357822755,0
Jump Shot,Jump Shot,171,21100523,33.8393,-158,205,-118.4278,5,2,0,4,25,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,2/29/2012,LAL vs. MIN,MIN,18891,14144,68,95.31,18890,26,4,2,3,1,2,17,304,1136,3.5216228489,3.2189158241,5.5214609179,2011,15860,0.6458953292,0.3541046708,0
Jump Bank Shot,Jump Shot,236,21100523,34.0033,-79,41,-118.3488,10,3,0,50,8,1,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2/29/2012,LAL vs. MIN,MIN,18893,14144,68,95.31,18892,24,4,1,4,3,3,17,650,1510,3.5264575787,2.0795665339,4.4543472963,2011,15862,0.4982645879,0.5017354121,1
Fadeaway Jump Shot,Jump Shot,295,21100523,33.9803,-19,64,-118.2888,4,3,0,43,6,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,2/29/2012,LAL vs. MIN,MIN,18895,14144,68,95.31,18894,17,4,1,2,3,5,17,283,1877,3.5257809449,1.791926122,4.6913478822,2011,15864,0.5033609352,0.4966390648,0
Turnaround Fadeaway,Jump Shot,335,21100523,33.9473,7,97,-118.2628,1,3,0,55,9,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2/29/2012,LAL vs. MIN,MIN,18897,14144,68,95.31,18896,52,4,1,2,3,3,17,115,2045,3.5248093221,2.1973356823,4.9558270576,2011,15866,0.4750156144,0.5249843856,1
Layup Shot,Layup,441,21100523,34.0323,20,12,-118.2498,5,4,0,18,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,2/29/2012,LAL vs. MIN,MIN,18901,14144,68,95.31,18898,27,5,1,2,6,5,17,318,2562,3.5273100737,0.6936470556,4.0430512678,2011,15868,0.4884981356,0.5115018644,1
Turnaround Fadeaway,Jump Shot,473,21100523,33.9233,6,121,-118.2638,3,4,0,5,12,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,2/29/2012,LAL vs. MIN,MIN,18903,14144,68,95.31,18900,52,4,1,2,3,3,17,185,2695,3.5241020939,2.4849899796,5.1119877884,2011,15870,0.5044517989,0.4955482011,0
Turnaround Jump Sho,Jump Shot,7,21100538,34.0503,113,-6,-118.1568,11,1,0,5,11,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/2/2012,LAL vs. SAC,SAC,18905,15617,71,96.51,18905,55,4,1,6,5,3,27,665,55,3.5278388431,2.3979861778,3.6635616461,2011,15872,0.4596573929,0.5403426071,1
Fadeaway Jump Shot,Jump Shot,41,21100538,33.9923,-98,52,-118.3678,8,1,0,13,11,1,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/2/2012,LAL vs. SAC,SAC,18907,15617,71,96.51,18907,17,4,1,4,5,3,27,493,227,3.5261340284,2.3979861778,4.5747109785,2011,15874,0.5019323804,0.4980676196,0
Driving Layup Shot,Layup,68,21100538,34.0333,-11,11,-118.2808,5,1,0,23,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/2/2012,LAL vs. SAC,SAC,18909,15617,71,96.51,18909,12,5,1,2,6,5,27,323,397,3.5273394571,0.0009995003,4.0253516907,2011,15876,0.4566077031,0.5433922969,1
Fadeaway Jump Shot,Jump Shot,106,21100538,33.9393,4,105,-118.2658,1,1,0,26,10,0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,3/2/2012,LAL vs. SAC,SAC,18911,15617,71,96.51,18911,17,4,1,2,3,3,27,86,634,3.524573635,2.302685088,5.0106352941,2011,15878,0.5144179947,0.4855820053,0
Driving Reverse Lay,Layup,266,21100538,34.0383,15,6,-118.2548,10,3,0,29,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/2/2012,LAL vs. SAC,SAC,18913,15617,71,96.51,18913,13,5,1,2,6,5,27,629,1531,3.5274863612,0.0009995003,3.9318256327,2011,15880,0.4366990795,0.5633009205,1
Fadeaway Jump Shot,Jump Shot,337,21100538,33.9483,-111,96,-118.3808,6,3,0,4,14,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/2/2012,LAL vs. SAC,SAC,18916,15617,71,96.51,18915,17,4,1,4,5,3,27,364,1796,3.5248387791,2.6391287556,4.9487598904,2011,15882,0.5188181916,0.4811818084,0
Turnaround Jump Sho,Jump Shot,379,21100538,34.0503,138,-6,-118.1318,2,3,0,8,13,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/2/2012,LAL vs. SAC,SAC,18918,15617,71,96.51,18917,55,4,1,6,5,3,27,128,2032,3.5278388431,2.5650262776,3.6635616461,2011,15884,0.4950764011,0.5049235989,1
Tip Shot,Tip Shot,390,21100538,34.0333,11,11,-118.2588,0,3,0,50,1,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/2/2012,LAL vs. SAC,SAC,18920,15617,71,96.51,18919,50,6,1,2,6,5,27,50,2110,3.5273394571,0.0009995003,4.0253516907,2011,15886,0.3944996913,0.6055003087,1
Jump Shot,Jump Shot,462,21100538,33.9693,78,75,-118.1918,3,4,0,48,10,0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,3/2/2012,LAL vs. SAC,SAC,18924,15617,71,96.51,18921,26,4,1,6,3,3,27,228,2652,3.5254571755,2.302685088,4.7874917428,2011,15888,0.4744843763,0.5255156237,1
Turnaround Fadeaway,Jump Shot,478,21100538,33.8713,-26,173,-118.2958,2,4,0,0,17,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/2/2012,LAL vs. SAC,SAC,18926,15617,71,96.51,18923,52,4,1,2,5,1,27,120,2760,3.5225680481,2.8332721659,5.3844950628,2011,15890,0.5122362535,0.4877637465,0
Driving Layup Shot,Layup,7,21100547,34.0183,7,26,-118.2628,10,1,0,53,2,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18928,17633,72,96.99,18928,12,5,1,2,6,5,15,653,67,3.5268986151,0.6936470556,4.262679877,2011,15892,0.4284737527,0.5715262473,1
Turnaround Fadeaway,Jump Shot,36,21100547,33.9293,-30,115,-118.2998,7,1,0,28,11,1,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18930,17633,72,96.99,18930,52,4,1,2,3,3,15,448,272,3.5242789479,2.3979861778,5.0751738152,2011,15894,0.4354907919,0.5645092081,1
Jump Shot,Jump Shot,52,21100547,33.9773,48,67,-118.2218,6,1,0,6,8,1,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18932,17633,72,96.99,18932,26,4,1,6,3,3,15,366,354,3.5256926546,2.0795665339,4.7184988713,2011,15896,0.4832639831,0.5167360169,1
Turnaround Jump Sho,Jump Shot,73,21100547,33.8933,-117,151,-118.3868,3,1,0,37,19,0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18934,17633,72,96.99,18934,55,4,1,3,5,1,15,217,503,3.5232173547,2.9444916094,5.2781146592,2011,15898,0.4844984756,0.5155015244,1
Jump Shot,Jump Shot,91,21100547,33.8333,-2,211,-118.2718,2,1,0,7,21,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18936,17633,72,96.99,18936,26,4,1,2,5,1,15,127,593,3.5214455246,3.0445700556,5.5451774445,2011,15900,0.5727830169,0.4272169831,0
Jump Shot,Jump Shot,235,21100547,33.9133,130,131,-118.1398,1,2,0,14,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18938,17633,72,96.99,18938,26,4,1,5,5,1,15,74,1366,3.5238072678,2.8904273119,5.170483995,2011,15902,0.53957654,0.46042346,0
Jump Shot,Jump Shot,266,21100547,33.9913,106,53,-118.1638,9,3,0,24,11,1,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18940,17633,72,96.99,18940,26,4,1,6,5,3,15,564,1596,3.5261046095,2.3979861778,4.5849674787,2011,15904,0.4694065866,0.5305934134,1
Jump Shot,Jump Shot,339,21100547,33.7753,17,269,-118.2528,2,3,0,16,26,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18942,17633,72,96.99,18942,26,4,2,2,1,2,15,136,2024,3.5197297661,3.2581349988,5.7493929859,2011,15906,0.6322303529,0.3677696471,0
Jump Shot,Jump Shot,417,21100547,33.9313,100,113,-118.1698,7,4,0,20,15,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18944,17633,72,96.99,18944,26,4,1,6,5,3,15,440,2440,3.5243378922,2.7081168655,5.062595033,2011,15908,0.4872731086,0.5127268914,1
Jump Shot,Jump Shot,455,21100547,33.9043,-136,140,-118.4058,2,4,0,38,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18948,17633,72,96.99,18946,26,4,1,3,5,1,15,158,2722,3.52354185,2.9444916094,5.2203558251,2011,15910,0.5369330572,0.4630669428,0
Fadeaway Jump Shot,Jump Shot,486,21100547,33.8853,18,159,-118.2518,1,4,0,5,16,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/4/2012,LAL vs. MIA,MIA,18950,17633,72,96.99,18948,17,4,1,2,5,1,15,65,2815,3.522981292,2.7726512203,5.3181199938,2011,15912,0.568790761,0.431209239,0
Turnaround Hook Sho,Hook Shot,26,21100567,34.0333,-64,11,-118.3338,7,1,0,57,6,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,3/6/2012,LAL @ DET,DET,18952,12510,72,91.67,18952,54,3,1,2,3,5,9,477,243,3.5273394571,1.791926122,4.0253516907,2011,15914,0.4093795538,0.5906204462,1
Fadeaway Jump Shot,Jump Shot,84,21100567,33.9703,111,74,-118.1588,2,1,0,18,13,0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/6/2012,LAL @ DET,DET,18956,12510,72,91.67,18954,17,4,1,6,5,3,9,138,582,3.5254866135,2.5650262776,4.7791234931,2011,15916,0.5225124606,0.4774875394,0
Jump Shot,Jump Shot,191,21100567,33.7983,-103,246,-118.3728,3,2,0,36,26,0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,3/6/2012,LAL @ DET,DET,18959,12510,72,91.67,18956,26,4,2,3,1,2,9,216,1224,3.5204105054,3.2581349988,5.6733232672,2011,15918,0.6193160112,0.3806839888,0
Jump Shot,Jump Shot,283,21100567,33.8693,113,175,-118.1568,6,3,0,42,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/6/2012,LAL @ DET,DET,18962,12510,72,91.67,18958,26,4,1,5,5,1,9,402,1758,3.5225089994,2.9957822723,5.3936275464,2011,15920,0.5268698038,0.4731301962,0
Tip Shot,Tip Shot,289,21100567,34.0413,4,3,-118.2658,6,3,0,24,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/6/2012,LAL @ DET,DET,18964,12510,72,91.67,18960,50,6,1,2,6,5,9,384,1776,3.5275744933,-6.907755279,3.8712010109,2011,15922,0.2579477047,0.7420522953,1
Fadeaway Jump Shot,Jump Shot,316,21100567,33.9993,-125,45,-118.3948,3,3,0,38,13,0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,1610612747,Los Angeles Lakers,3/6/2012,LAL @ DET,DET,18966,12510,72,91.67,18962,17,4,1,4,5,3,9,218,1942,3.5263399362,2.5650262776,4.4998096703,2011,15924,0.5215851663,0.4784148337,0
Running Jump Shot,Jump Shot,330,21100567,34.0033,4,41,-118.2658,1,3,0,56,4,1,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,3/6/2012,LAL @ DET,DET,18968,12510,72,91.67,18964,41,4,1,2,3,5,9,116,2044,3.5264575787,1.3865443299,4.4543472963,2011,15926,0.4258327685,0.5741672315,1
Jump Shot,Jump Shot,383,21100567,33.8963,143,148,-118.1268,7,4,0,11,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/6/2012,LAL @ DET,DET,18970,12510,72,91.67,18966,26,4,1,5,5,1,9,431,2449,3.5233058639,2.9957822723,5.2626901889,2011,15928,0.5305130629,0.4694869371,0
Jump Shot,Jump Shot,414,21100567,33.8053,119,239,-118.1508,2,4,0,0,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,3/6/2012,LAL @ DET,DET,18972,12510,72,91.67,18968,26,4,2,5,1,2,9,120,2760,3.5206175949,3.2581349988,5.6489742382,2011,15930,0.6298698408,0.3701301592,0
Jump Shot,Jump Shot,468,21100567,33.7863,31,258,-118.2388,0,5,0,32,25,0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,3/6/2012,LAL @ DET,DET,18975,12510,72,91.67,18970,26,4,2,2,1,2,9,32,3568,3.5200553949,3.2189158241,5.7137328055,2011,15932,0.630951915,0.369048085,0
Layup Shot,Layup,30,21100571,34.0473,7,-3,-118.2628,9,1,0,27,0,0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,18977,15011,67,92.7,18977,27,5,1,2,6,5,33,567,153,3.5277507343,-6.907755279,3.7376696183,2011,15934,0.3100365022,0.6899634978,1
Jump Shot,Jump Shot,87,21100571,34.0443,233,0,-118.0368,4,1,0,29,23,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,18979,15011,67,92.7,18979,26,4,2,6,7,2,33,269,451,3.5276626177,3.1355376932,3.8066624898,2011,15936,0.6207885309,0.3792114691,0
Fadeaway Jump Shot,Jump Shot,105,21100571,34.0613,187,-17,-118.0828,2,1,0,44,18,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,18981,15011,67,92.7,18981,17,4,1,6,5,1,33,164,556,3.5281618424,2.8904273119,3.3322045102,2011,15938,0.6243146707,0.3756853293,0
Jump Shot,Jump Shot,212,21100571,34.0663,233,-22,-118.0368,5,2,0,21,23,1,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,18984,15011,67,92.7,18983,26,4,2,6,7,2,33,321,1119,3.5283086258,3.1355376932,3.1354942159,2011,15940,0.6625525321,0.3374474679,0
Jump Shot,Jump Shot,233,21100571,33.8413,39,203,-118.2308,3,2,0,19,20,0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,18986,15011,67,92.7,18985,26,4,1,2,5,1,33,199,1241,3.5216819501,2.9957822723,5.5134287462,2011,15942,0.5910508239,0.4089491761,0
Layup Shot,Layup,257,21100571,34.0543,2,-10,-118.2678,0,2,0,43,1,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,18988,15011,67,92.7,18987,27,5,1,2,6,5,33,43,1397,3.5279563095,0.0009995003,3.5553480615,2011,15944,0.5012631566,0.4987368434,0
Jump Shot,Jump Shot,333,21100571,33.8393,61,205,-118.2088,6,3,0,5,21,1,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,18992,15011,67,92.7,18989,26,4,1,2,5,1,33,365,1795,3.5216228489,3.0445700556,5.5214609179,2011,15946,0.5882759906,0.4117240094,0
Fadeaway Jump Shot,Jump Shot,392,21100571,34.0763,168,-32,-118.1018,2,3,0,11,17,1,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,18997,15011,67,92.7,18991,17,4,1,6,5,1,33,131,2029,3.528602128,2.8332721659,2.5649493575,2011,15948,0.6924224033,0.3075775967,0
Jump Shot,Jump Shot,436,21100571,33.8683,92,176,-118.1778,11,4,0,0,19,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,18999,15011,67,92.7,18993,26,4,1,5,5,1,33,660,2220,3.5224794737,2.9444916094,5.3981627015,2011,15950,0.558900686,0.441099314,0
Jump Shot,Jump Shot,450,21100571,33.8933,58,151,-118.2118,9,4,0,29,16,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,19001,15011,67,92.7,18995,26,4,1,5,5,1,33,569,2311,3.5232173547,2.7726512203,5.2781146592,2011,15952,0.540963126,0.459036874,0
Jump Shot,Jump Shot,497,21100571,33.9043,-215,140,-118.4848,4,4,0,33,25,1,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,19004,15011,67,92.7,18997,26,4,2,3,1,2,33,273,2607,3.52354185,3.2189158241,5.2203558251,2011,15954,0.6130347912,0.3869652088,0
Jump Shot,Jump Shot,533,21100571,33.8173,130,227,-118.1398,1,4,0,10,26,0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,1610612747,Los Angeles Lakers,3/7/2012,LAL @ WAS,WAS,19006,15011,67,92.7,18999,26,4,2,5,1,2,33,70,2810,3.5209725059,3.2581349988,5.6058020663,2011,15956,0.6500619617,0.3499380383,0
Jump Shot,Jump Shot,6,21100589,33.9323,149,112,-118.1208,11,1,0,2,18,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/9/2012,LAL @ MIN,MIN,19008,16288,71,96.95,19008,26,4,1,5,5,1,17,662,58,3.5243673631,2.8904273119,5.0562458053,2011,15958,0.5123655098,0.4876344902,0
Layup Shot,Layup,42,21100589,34.0493,1,-5,-118.2688,7,1,0,23,0,1,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,1610612747,Los Angeles Lakers,3/9/2012,LAL @ MIN,MIN,19010,16288,71,96.95,19010,27,5,1,2,6,5,17,443,277,3.5278094744,-6.907755279,3.6888794541,2011,15960,0.2987745539,0.7012254461,1
Jump Shot,Jump Shot,82,21100589,33.8773,-101,167,-118.3708,4,1,0,17,19,1,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/9/2012,LAL @ MIN,MIN,19012,16288,71,96.95,19012,26,4,1,3,5,1,17,257,463,3.5227451736,2.9444916094,5.3565862747,2011,15962,0.5550363589,0.4449636411,0
Jump Shot,Jump Shot,136,21100589,34.0223,228,22,-118.0418,0,1,0,0,22,0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,1610612747,Los Angeles Lakers,3/9/2012,LAL @ MIN,MIN,19016,16288,71,96.95,19014,26,4,2,6,7,2,17,0,720,3.527016192,3.0910879069,4.2046926194,2011,15964,0.6051302459,0.3948697541,0
Jump Shot,Jump Shot,208,21100589,34.0033,21,41,-118.2488,5,2,0,19,4,0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,1610612747,Los Angeles Lakers,3/9/2012,LAL @ MIN,MIN,19018,16288,71,96.95,19016,26,4,1,2,3,5,17,319,1121,3.5264575787,1.3865443299,4.4543472963,2011,15966,0.4584568368,0.5415431632,1
Jump Shot,Jump Shot,277,21100589,33.8543,72,190,-118.1978,0,2,0,0,20,0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,1610612747,Los Angeles Lakers,3/9/2012,LAL @ MIN,MIN,19021,16288,71,96.95,19018,26,4,1,5,5,1,17,0,1440,3.5220660223,2.9957822723,5.4595855141,2011,15968,0.580686454,0.419313546,0
